DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TPS2456RHHT,EAGLE,EAGLE,,,,,759
TPS24720RGTR,EAGLE,EAGLE,,,,,2143
TPS24720RGTT,EAGLE,EAGLE,,,,,2143
TPS24740RGER,EAGLE,EAGLE,,,,,1250
TPS24741RGER,EAGLE,EAGLE,,,,,1250
TPS24742RGER,EAGLE,EAGLE,,,,,1250
TPS24750RUVR,EAGLE,EAGLE,,,,,1378
TPS24750RUVT,EAGLE,EAGLE,,,,,1378
TPS24751RUVR,EAGLE,EAGLE,,,,,1430
TPS24751RUVT,EAGLE,EAGLE,,,,,1430
TPS2500DRCR,EAGLE,EAGLE,,,,,4546
TPS2500DRCT,EAGLE,EAGLE,,,,,4546
TPS2501DRCR,EAGLE,EAGLE,,,,,4761
TPS2501DRCT,EAGLE,EAGLE,,,,,4761
TPS2505B1RGWR,VLCT-X1,VLCT-X1,,,,,2314
TPS25200DRVR,EAGLE,EAGLE,,,,,27794
TPS25200DRVT,EAGLE,EAGLE,,,,,27794
TPS2540ARTER,EAGLE,EAGLE,,,,,3452
TPS2540ARTET,EAGLE,EAGLE,,,,,3452
TPS2540RTER,EAGLE,EAGLE,,,,,3019
TPS2540RTET,EAGLE,EAGLE,,,,,3019
TPS2541ARTER,EAGLE,EAGLE,,,,,3191
TPS2541ARTET,EAGLE,EAGLE,,,,,3191
TPS2541RTER,EAGLE,EAGLE,,,,,3437
TPS2541RTET,EAGLE,EAGLE,,,,,3437
TPS2543QRTERQ1,EAGLE,EAGLE,,,,,4102
TPS2543QRTETQ1,EAGLE,EAGLE,,,,,4102
TPS2543RTER,EAGLE,EAGLE,,,,,4630
TPS2543RTET,EAGLE,EAGLE,,,,,4630
TPS2544RTER,EAGLE,EAGLE,,,,,4679
TPS2544RTET,EAGLE,EAGLE,,,,,4679
TPS2546QRTERQ1,EAGLE,EAGLE,,,,,4444
TPS2546RTER,EAGLE,EAGLE,,,,,4701
TPS2546RTET,EAGLE,EAGLE,,,,,4701
TPS2552DRVR,EAGLE,EAGLE,,,,,35116
TPS2552DRVT,EAGLE,EAGLE,,,,,35116
