actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 5:39:51,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 9:37:4,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 4:28:22,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 6:41:45,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 3:17:32,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 7:49:28,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,D74110RVFR2-LN,,10/9/2015 2:11:7,26,,,N,10/09/2015 02:06:09
,26,ETS-2-64,PS25200DRVR-G2,setup change,10/9/2015 11:36:45,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 14:21:8,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 17:13:8,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 10:59:38,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 13:32:6,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 16:48:8,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 10:34:41,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 12:47:55,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 15:59:7,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 18:14:55,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 12:13:56,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 15:10:7,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS25200DRVR-G2,,10/9/2015 17:38:8,26,,,N,10/09/2015 10:29:43
,26,ETS-2-64,PS53513RVER-LN,setup change,10/10/2015 8:16:53,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,3515RVER1-LQN#,setup change,10/10/2015 18:29:38,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,setup change,10/9/2015 21:47:5,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,,10/10/2015 5:36:57,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,3515RVER1-LQN#,setup change,10/10/2015 16:7:36,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,setup change,10/9/2015 19:8:47,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,,10/10/2015 13:32:22,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53515RVER-LN,setup change,10/10/2015 23:45:40,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,setup change,10/10/2015 2:57:47,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,,10/10/2015 10:57:47,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,3515RVER1-LQN#,setup change,10/10/2015 21:6:17,26,,,N,10/09/2015 19:03:48
,26,ETS-2-64,PS53513RVER-LN,setup change,10/10/2015 0:22:0,26,,,N,10/09/2015 19:03:48
,27,ETS-2-64,A8001DRBR2-G2K,,10/9/2015 7:49:57,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBR2-G2K,,10/9/2015 22:43:19,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBT2-G2K,setup change,10/10/2015 18:13:1,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBR2-G2K,setup change,10/9/2015 10:42:14,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBR2-G2K,,10/10/2015 4:24:28,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBT2-G2K,setup change,10/10/2015 21:5:19,27,,,N,10/09/2015 02:06:09
,27,ETS-2-64,A8001DRBR2-G2K,setup change,10/9/2015 13:34:8,27,,,N,10/09/2015 02:06:09
