Machine_Instance_ID,Machine_Family_ID,Machine_Instance_Name,Lot_ID,Lot_Name,Quantity,Lot_Weight,Device ID,Device_Name,Route_ID,Tooling_Family_ID,Tooling_Family_Name,Certification,Value
19,2,CLFTEA26,900,5976286,7709,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,901,5976288,7780,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,902,5976285,7733,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,903,5976289,7735,1125,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1133,5979659,7668,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1134,5979653,7773,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1135,5979641,7819,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1136,5979656,7754,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1137,5979638,7108,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1138,5979663,7752,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1139,5979661,7831,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1140,5979643,7795,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1141,5979652,7704,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1142,5979658,7835,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1143,5979662,7853,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1144,5979654,7719,1024,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1302,5983557,7777,912,127,D97374Q4M-LNKE,527,420,6578688B,1,1
19,2,CLFTEA26,1509,5986656,7761,817,127,D97374Q4M-LNKE,527,420,6578688B,1,1
20,2,CLFTEA27,698,5971839,5125,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,699,5971828,5180,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,700,5971827,5155,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,701,5971837,5085,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,702,5971838,5165,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,703,5971829,4144,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,704,5971841,5178,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,705,5971842,3800,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,706,5971831,5147,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,707,5971826,5150,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,709,5971825,5134,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,710,5971834,5156,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,711,5971835,5142,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,713,5971832,5179,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,714,5971836,5140,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,715,5971833,5182,1202,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,941,5975043,5180,1102,143,N0706026RHHR-B,587,32,6479550B,1,1
20,2,CLFTEA27,947,5975037,3162,1102,143,N0706026RHHR-B,587,32,6479550B,1,1
22,2,CLFTEA29,758,5972978,10044,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,759,5972988,5033,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,760,5972986,10034,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,761,5972983,9961,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,762,5972980,10066,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,763,5972985,10031,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,764,5972979,9981,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,765,5972987,8932,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,766,5972982,10040,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,767,5972984,10059,1170,150,N0608010RGER-B,578,49,6484809C,1,1
22,2,CLFTEA29,769,5972981,10059,1170,150,N0608010RGER-B,578,49,6484809C,1,1
23,7,CLFTEA3,375,5963987,6895,1439,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,495,5967266,13800,1342,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,496,5967268,10278,1342,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,497,5967269,6893,1342,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,516,5967263,13770,1342,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,518,5967267,13809,1342,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,667,5970747,13732,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,668,5970759,13778,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,669,5970757,13805,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,670,5970758,13804,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,671,5970761,13789,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
23,7,CLFTEA3,674,5970763,13810,1237,111,PS54678RTER-G2,758,256,6529253A,1,1
24,2,CLFTEA30,4,5729950,14162,8836,3,G62130ARGTRS-L,554,143,6513992B,1,1
24,2,CLFTEA30,5,5734270,11305,8701,3,G62130ARGTRS-L,554,143,6513992B,1,1
24,2,CLFTEA30,7,5753070,14591,8084,3,G62130ARGTRS-L,554,143,6513992B,1,1
25,2,CLFTEA31,154,5944195,6863,2016,62,PS51518RUKR-LK,699,231,6526517A,1,1
25,2,CLFTEA31,155,5944194,10606,2016,62,PS51518RUKR-LK,699,231,6526517A,1,1
25,2,CLFTEA31,201,5952248,13767,1776,62,PS51518RUKR-LK,699,231,6526517A,1,1
25,2,CLFTEA31,202,5952246,13810,1776,62,PS51518RUKR-LK,699,231,6526517A,1,1
25,2,CLFTEA31,203,5952247,13812,1776,62,PS51518RUKR-LK,699,231,6526517A,1,1
